Data e Hora;Nome do Usuário;Nível;idOperação;Descrição do Log;idUsuario;idLog
23/05/2026 09:06;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9893171 VINCULADA A CARGA ID: 166466;874;119746016
23/05/2026 09:06;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9905975 VINCULADA A CARGA ID: 166466;874;119746018
23/05/2026 09:07;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9897848 VINCULADA A CARGA ID: 166466;874;119746065
23/05/2026 09:07;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9914785 VINCULADA A CARGA ID: 166466;874;119746122
23/05/2026 09:07;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9913566 VINCULADA A CARGA ID: 166466;874;119746247
23/05/2026 09:07;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9912554 VINCULADA A CARGA ID: 166466;874;119746270
23/05/2026 09:07;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9880075 VINCULADA A CARGA ID: 166466;874;119746306
23/05/2026 09:07;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9870366 VINCULADA A CARGA ID: 166466;874;119746321
23/05/2026 09:03;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9906116 VINCULADA A CARGA ID: 166466;874;119745268
23/05/2026 09:03;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9913054 VINCULADA A CARGA ID: 166466;874;119745272
23/05/2026 09:03;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9880111 VINCULADA A CARGA ID: 166466;874;119745360
23/05/2026 09:03;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9914962 VINCULADA A CARGA ID: 166466;874;119745264
23/05/2026 09:09;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9852936 VINCULADA A CARGA ID: 166466;874;119746491
23/05/2026 09:09;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9907297 VINCULADA A CARGA ID: 166466;874;119746546
23/05/2026 09:09;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9901674 VINCULADA A CARGA ID: 166466;874;119746572
23/05/2026 09:10;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9914121 VINCULADA A CARGA ID: 166466;874;119746596
23/05/2026 09:10;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9884301 VINCULADA A CARGA ID: 166466;874;119746598
23/05/2026 09:10;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9914995 VINCULADA A CARGA ID: 166466;874;119746619
23/05/2026 09:10;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9914743 VINCULADA A CARGA ID: 166466;874;119746763
23/05/2026 09:09;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9913805 VINCULADA A CARGA ID: 166466;874;119746541
23/05/2026 09:09;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9915442 VINCULADA A CARGA ID: 166466;874;119746570
23/05/2026 09:10;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9884742 VINCULADA A CARGA ID: 166466;874;119746615
23/05/2026 09:10;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9914260 VINCULADA A CARGA ID: 166466;874;119746624
23/05/2026 09:10;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9896783 VINCULADA A CARGA ID: 166466;874;119746634
23/05/2026 09:10;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9886339 VINCULADA A CARGA ID: 166466;874;119746680
23/05/2026 09:10;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9915165 VINCULADA A CARGA ID: 166466;874;119746682
23/05/2026 09:10;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9914499 VINCULADA A CARGA ID: 166466;874;119746706
23/05/2026 09:10;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9890525 VINCULADA A CARGA ID: 166466;874;119746729
23/05/2026 09:10;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9903982 VINCULADA A CARGA ID: 166466;874;119746732
